2021-01-04 13:04:59 21 10.20.104.20 yx=SKM30100,jh=YER,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://a0.0kvg.net/4520443/0120101106345/300q100/css/style.css 200 TCP_HIT GET image/jpeg https a0.0kvg.net 220 /4520443/0120101106345/300q100/images/cvsm2.jpg - jpg "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.3 42131 020 - "none" "none" 121.110.03.114
2021-01-04 13:04:59 21 10.20.016.102 yx=ANT00460,jh=YER,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://s.thao.com/jc/mazie/4-8-0/html/r-bj.html 200 TCP_KT_MISS GET application/javascript https service.reagan.ghislaine.tasha.com 220 /gu/h0/pixels ?marianna=&limit=01&us_privacy=null&js=1&_origin=1&ling=0&johnathon= - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.3 305 010 - "none" "none" 01.23.03.033
2021-01-04 13:04:59 21 10.20.024.122 yx=NRO11313,jh=TAM,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://www.flo.com/1011/00/01/us/dallas-bunny-restraining-order-details-kit/index.html 204 TCP_KT_MISS POST application/json https search.qkcjbvhralu.com 220 /sherryl/2.3/cecil/107125 ?src_sys=meghan - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.5 1001 1524 - "none" "none" 020.30.132.122
2021-01-04 13:04:59 21 10.20.19.29 yx=BXS40001,jh=UNA,jh=TX,o=KAI - - OBSERVED "Business/Economy" https://www.stephania.com/ 200 TCP_KT_MISS GET application/javascript https xf.v.stvsmaqovp.net 220 /kay/js/10400103 ?ida=1w5FSZUMF00dSxV-z-aRdV&ui=itJx35254z52200&t=ip&ea=1223010672621&pid=1226112032&pam=5101024012&joy=PoOUYuPTXgTrDzGsv2Kiw1 - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.4 0120 020 - "StvsMaqovp" "none" 000.31.01.43
2021-01-04 13:04:59 21 10.20.33.236 yx=BJO12023,jh=FAY,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://www.anh.com/ 204 TCP_KT_MISS GET - https akf.jaimee.com 220 /k0/kristen/ping.gif ?h=-1200732160&e=jqi&n=0375044003012350&grs=0&jdv=002_xdtzRzrktyEaCkbxcJy&aid=1ix10igNRqrDvaAijkQlMS&don=0&at=1&c=1&zyy=0&za=0&d=0&at=0&jx=6&suz=0iq60zwddpri&i=0&id=Hqf0utap&lid=22bi1ovnqq03&yoc=read&mb=0&ocp=1&kra=1&gbr=0plxgu50gf1f&tc=1&pid=gWiA0LdN&xlh=0&jg=410&mhw=1&ijl=08bxmoiajczu&ci=nikia&pmp=IKE&ynp=3&gd=4&wps=1&sp=ANH&yg=https%3Z%2E%2Xnzj.anh.com%2E&sm=8.20.10&ala=0&s=0&sam=0&hlx=2&nell=0&t=Phuong%00Ebeenkx%20Itvglbxi%00Gbfwtjc%00Dfcgeokuda%05k%00Pwfhyc%20ru%00Hpjfnyov%20vm%00Pxcbwe&iv=3.30.1&cc=0&wu=0&lv=90&pa=215&yw=1&kari=ety1sk0caip0&sqo=npw&shon=ety1sk0caip0&kzv=1&poe=1&p=-1&pg=0&pi=0&us=0&cej=0&bess=CAO&fcm=%6Y%10jlxyqnbdmwrmp.id%12%3Z%10412076%12%1M%10jlxyqnbdmwrmp.pedro%12%3Z%02PGM%12%1M%10jlxyqnbdmwrmp.result%12%0J0%1M%10jlxyqnbdmwrmp.code%12%0J0%1M%10jlxyqnbdmwrmp.cjvcAsaPayKqzhxtle%12%1B205%1M%02atoxgvxy.id%12%3Z%022031430%12%1M%02atoxgvxy.pedro%12%3Z%22008021%12%1M%02atoxgvxy.result%12%0J0%1M%02atoxgvxy.code%12%0J0%1M%02atoxgvxy.cjvcAsaPayKqzhxtle%12%1X002%1Q&twr=3000&og=0220004436014 gif "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.3 000 1371 - "none" "none" 020.201.23.010
2021-01-04 13:04:59 21 10.20.39.26 yx=KCE14038,jh=FAY,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://carlee.com/ 204 TCP_KT_MISS GET - https compass-events.rmexuppjou.com 220 /report ?onqkcehyaRi=5100&aliTa=13271&size=000p150&domain=carlee.com&adriana=carlee.com&demand=rpleqtqxvsrsu&section=quote.wava&giNo=12057&level=2&loop=00&cavziuxYxywvwivWj=526020&madeleNe=0032&carmelIna=200010%7I34l3210a&country=us&os=windows&device=pg&browser=chrome&xyxpkmwqxFv=10103&parentId=0000&wlzrdtVsajvogsMm=000010&tawNa=13271-300-130-cjijyfan3p0g10u0jxfcs&ydpqlhxDzhn=BCX&qlvEorapdtkp=google_ads_debbra_%2J3102%2Tkskt.carlee%1Egahqyjqlbm_3&qylnfogrxav_ivey=n%1Bh&qylnfogrxav_time=0&qylnfogrxav_vp=n%1Bh&page=https%3Z%2E%0Cchokcv.com%0Sqmdef.wava%2Ji%0Phpl&ui=251401305&version=4.4.23 - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.2 006 1133 - "none" "none" 40.105.52.30
2021-01-04 13:04:59 21 10.20.39.33 yx=DWA11200,jh=FAY,jh=TX,o=KAI - - OBSERVED "Government/Legal" https://www.mcehjwprjexxqqd.org/ 200 TCP_DIEDRE_HIT GET image/png https www.mcehjwprjexxqqd.org 220 /images/bg_post_shadow.png - png "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41; Leilani/7.0; na:00.0) like Gecko" 10.174.6.4 301 000 - "none" "none" 020.123.111.054
2021-01-04 13:04:59 21 10.20.41.100 yx=OYO02521,jh=DEV,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" - 200 TCP_ACCELERATED CONNECT - tcp ad.340mpjlz.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.4 05 012 - "Improve Digital" "none" 06.205.150.130
2021-01-04 13:04:59 21 10.20.43.238 yx=PHN00010,jh=DEV,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" - 200 TCP_ACCELERATED CONNECT - tcp nteqyiokn2.g.mcnfawbbeny.net 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.5 05 121 - "none" "none" 121.130.060.171
2021-01-04 13:04:59 21 10.20.43.238 yx=PHN00010,jh=DEV,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" - 200 TCP_ACCELERATED CONNECT - tcp vg.caridad.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.5 05 223 - "none" "none" 21.171.022.10
2021-01-04 13:04:59 21 10.20.43.238 yx=PHN00010,jh=DEV,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" - 200 TCP_ACCELERATED CONNECT - tcp a0.0kvg.net 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.5 05 012 - "none" "none" 121.110.03.114
2021-01-04 13:04:59 21 10.20.45.225 yx=XCI10832,jh=DEV,jh=TX,o=KAI - - OBSERVED "Search Engines/Portals" - 200 TCP_ACCELERATED CONNECT - tcp rosemarie.google.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.4 05 121 - "none" "none" 112.014.9.171
2021-01-04 13:04:59 21 10.20.45.225 yx=XCI10832,jh=DEV,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://www.kvimoprren.com/recipe/253235/lani-slow-fallon-chicken-curry/ 200 TCP_KT_MISS GET image/gif https events.lynetta.net 220 /track.gif/eligible ?rubi=LKRiuyJsLIQdA10VoKtJwFUkZdGGwY20OoFPgBnHXNJ1NHZPApE+JySdTKumuFoYPkQjEKdq5GSDBcjOxGu1qnRDqqBEZVA3R5EECpcGWfCcFpLgBjZ0CQE0YlwZxErtqZLZeB4LQ3Pk00AHSnKlIsPx1dQITDAmbHUudaN1RJBMHXZ0jaZx0xVxQjyGh0X0NfBGcgTXpH1N3HIMtMPwf5AstITtnvO0cZadWCYdIvUoF3GUesInBSCORPRVObYubzSAeTJH0HNGgBQNYCSILuUf2KIX4WfXdoJcF0EudNgAqVEvRQpvRIONOTBUSGYQpkRscJCPlpRHfJJYHJ+5AIK - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.4 215 140 - "none" "none" 30.94.22.245
2021-01-04 13:04:59 21 10.20.21.032 yx=OHD10723,jh=LIN,jh=TX,o=KAI - - OBSERVED "Search Engines/Portals" - 200 TCP_ACCELERATED CONNECT - tcp pwl.sherill.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.2 05 023 - "none" "none" 23.100.033.93
2021-01-04 13:04:59 21 10.20.21.032 yx=OHD10723,jh=LIN,jh=TX,o=KAI - - OBSERVED "Search Engines/Portals" - 200 TCP_ACCELERATED CONNECT - tcp tge0.google.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.2 05 023 - "none" "none" 112.014.10.28
2021-01-04 13:04:59 21 10.20.21.032 yx=OHD10723,jh=LIN,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" - 200 TCP_ACCELERATED CONNECT - tcp puy-us-east.marcel-marylynn.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.2 05 217 - "none" "none" 01.01.206.131
2021-01-04 13:04:59 21 10.20.21.032 yx=OHD10723,jh=LIN,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" - 200 TCP_ACCELERATED CONNECT - tcp cej.markita.net 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.2 05 023 - "none" "none" 23.05.14.102
2021-01-04 13:04:59 21 10.20.21.032 yx=OHD10723,jh=LIN,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" - 200 TCP_ACCELERATED CONNECT - tcp garry.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.2 05 210 - "none" "none" 40.045.2.14
2021-01-04 13:04:59 21 10.20.21.032 yx=OHD10723,jh=LIN,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" - 200 TCP_ACCELERATED CONNECT - tcp lera-eun.xkcgcsypncq.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.2 05 011 - "none" "none" 21.171.010.05
2021-01-04 13:04:59 21 10.20.50.141 yx=GJW20014,jh=LIN,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" - 200 TCP_ACCELERATED CONNECT - tcp c.k2t10.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.4 05 012 - "none" "none" 01.106.010.122
2021-01-04 13:04:59 21 10.20.50.141 yx=GJW20014,jh=LIN,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" - 200 TCP_ACCELERATED CONNECT - tcp ping.broderick.net 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.4 05 201 - "none" "none" 40.110.103.30
2021-01-04 13:04:59 21 10.20.50.30 yx=YNN03100,jh=LIN,jh=TX,o=KAI - - OBSERVED "News" - 200 TCP_ACCELERATED CONNECT - tcp global.priscilla.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.2 05 121 - "none" "none" 21.171.010.00
2021-01-04 13:04:59 21 10.20.50.30 yx=YNN03100,jh=LIN,jh=TX,o=KAI - - OBSERVED "News" - 200 TCP_ACCELERATED CONNECT - tcp static.carmina.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.2 05 204 - "none" "none" 23.48.21.129
2021-01-04 13:04:59 21 10.20.50.30 yx=YNN03100,jh=LIN,jh=TX,o=KAI - - OBSERVED "Search Engines/Portals" - 200 TCP_ACCELERATED CONNECT - tcp d1wyp.joo.tasha.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.2 05 130 - "none" "none" 30.105.52.93
2021-01-04 13:04:59 21 10.20.50.30 yx=YNN03100,jh=LIN,jh=TX,o=KAI - - OBSERVED "Search Engines/Portals" - 200 TCP_ACCELERATED CONNECT - tcp pwl.sherill.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.2 05 012 - "none" "none" 23.100.033.93
2021-01-04 13:04:59 21 10.20.50.30 yx=YNN03100,jh=LIN,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" - 200 TCP_ACCELERATED CONNECT - tcp rfeecx2.ipflzeabovkzahaxi.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.2 05 020 - "none" "none" 112.014.01.023
2021-01-04 13:04:59 21 10.201.122.20 - - - OBSERVED "Content Delivery Networks" - 206 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/Dp_1NVzJ0_trPxeG-g0sWA_20110513.031463400/Aqqy1XqdvKEE0rmVFPiN1e - - "Margareta BITS/7.8" 10.174.6.5 020360 151 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 21 10.204.002.102 - - - OBSERVED "Content Delivery Networks" - 206 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/MosPTdHVrjqX1GflcIjiJY_00.0.4032.0/KKLzS3c110FzguJ0G13aLo - - "Margareta BITS/7.8" 10.174.004.4 256821 074 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 21 10.205.1.50 - - user-defined.JANEE_Filtered DENIED "Intimate Apparel/Swimsuit;Shopping" - 403 TCP_DENIED GET - http gq.rutepldlaltuusw.com 00 /p/ew/050pj4210500v1v0.png ?gq_u=000010000401%20&gq_tony=10200203_LAI_2040_EXCLUSIVE png "Mozilla/4.0 (compatible; JESS 7.0; Windows NT 6.2; GQU61; Leilani/7.0; .NPM2.0E; .NPM2.0E; .NET BOB 2.0.40002; .NET BOB 3.0.00325; .NET BOB 3.5.00325; Zoom 3.6.0; SG7HD0)" 10.174.6.4 3003 400 - "none" "none" 56.21.105.52
2021-01-04 13:04:59 21 10.206.50.14 - - - OBSERVED "Web Infrastructure" - 200 TCP_HIT GET application/nida-response http nida.entrust.net 00 /PH0vAtZCOJzjIWQXXpNhFiAZFnZUHOOYASBzWgFjHvaJeh40kPbAE0QxdkDHzjXoykYr403vN2aD0BhIw4VNOqeMOK7aHUYPMWOSEgM3kH%2E%2E - - "Margareta-WkonyhZCQ/10.0" 10.174.6.4 1071 217 - "Entrust.net" "none" 21.41.012.01
2021-01-04 13:04:59 21 10.207.162.01 - - - OBSERVED "Content Delivery Networks" - 206 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/Dp_1NVzJ0_trPxeG-g0sWA_20110513.031463400/Aqqy1XqdvKEE0rmVFPiN1e - - "Margareta BITS/7.8" 10.174.6.4 014203 151 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 21 10.01.101.002 yx=ACF04134,jh=FIM,jh=VE,o=KAI - - OBSERVED "Technology/Internet" - 200 TCP_ACCELERATED CONNECT - tcp svhltevddrz.drusilla.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20" 10.174.004.5 05 011 - "DruSilla" "none" 101.20.132.21
2021-01-04 13:04:59 21 10.01.101.002 yx=ACF04134,jh=FIM,jh=VE,o=KAI - - OBSERVED "Web Ads/Ghislaine" - 200 TCP_ACCELERATED CONNECT - tcp id.trula.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20" 10.174.004.5 05 100 - "none" "none" 30.190.20.042
2021-01-04 13:04:59 21 10.01.042.03 yx=RKN05005,jh=OAK,jh=VE,o=KAI - - OBSERVED "Technology/Internet" https://www.marcel.com/ 200 TCP_DIEDRE_HIT GET image/jpeg https m.media-marcel.com 220 /images/I/41VZ00G00VJ._JY_IZ220_.jpg - jpg "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.004.5 15034 182 - "none" "none" 40.020.30.17
2021-01-04 13:04:59 21 10.21.34.223 yx=NHS37730,jh=ERE,jh=VE,o=KAI - - OBSERVED "Web Ads/Ghislaine" - 200 TCP_ACCELERATED CONNECT - tcp rfeecx2.ipflzeabovkzahaxi.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.004.4 05 123 - "none" "none" 112.014.01.023
2021-01-04 13:04:59 21 10.111.009.011 yx=BTE11342,jh=YER,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" - 200 TCP_ACCELERATED CONNECT - tcp ora.tasha.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41; Leilani/7.0; na:00.0) like Gecko" 10.174.6.4 05 112 - "none" "none" 01.012.43.02
2021-01-04 13:04:59 21 10.12.002.117 yx=VEX12162,jh=NIA,jh=VV,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://www.gbumwhtceqds.com/ 200 TCP_KT_MISS GET image/gif https rfeecx2.ipflzeabovkzahaxi.com 220 /ava/georgeanna ?ada=HXBPwkp_hQFSgAR0cym3wsgeLQjeTQfuOBmIxz5MdFFJ3M-Agg-FXaETUi3-SmiJzBBrwv6QMxu4AzNSP2R1S3uL1C1ZG3keIOWLU2sMEl_Zs0-X_dYNfLmocSeVnPS&bok=TIof-KOklYxwcJvtr31eVF3g3qWjLaTG4gZwRRO5Kk222HqKn5RqvcsHVnSIhka6GtKqJCz5Vawy0dZDbtFsnnEWHvo0Pbw4aYLZ1Hy5NFgnF0WKNqiy0Pq7wO2jbgiztK1&len=Ri0JqIQApTKSv1Af4UXdUFF&kia=HTJHVgBcohGaed6aawppQleaHsuiNdzfBJ&id=annis&o=040,1225&d=215,90&dm=0700,1070&hd=0700,010&tera=0000&matt=0,0,0000,0000,0000&lkk=0,0,0000,0,0&eua=11006&pou=02040&g=21.32301410161530&h=100&ie=02040&r=v&phil=tobi&dlj=210421101 - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.3 730 0083 - "none" "none" 112.014.01.023
2021-01-04 13:04:59 21 10.12.002.100 yx=WRM23435,jh=NIA,jh=VV,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://www.flo.com/ressie/politics/1011/01/03/earlean-jana-calls-out-trump-election-fraud-zena-kathy-jeanna-jxx.flo/video/madelaine/this-week-in-politics/ 200 TCP_KT_MISS GET image/gif https vs.wcilfiayxlnumtm.com 220 /vs ?frEd=716261&chEt=805o1000-v4p3-5hc1-e105-2x23kj20c2u5&iv=%3Ou:f2swEd,domiNick:-4,time:5205,type:m,clog:%2W%5Lhyw:100,cy:o,r:v,w:130,h:235,t:18%1Q,%0Jhq:i,r:,t:1472%1Q%5M,fw:%1TbAnnnzBymes:7,bRendan:%2W%7Jo:-1225,fz:tqSqtyadixCgobvo,zx:o,volume:1,ad_duration:30,width:130,height:235,waltRaud:normal%1Q,%7Jo:-1225,fz:nbzwtpXedarwf,zx:o,volume:1,ad_duration:30,width:130,height:235,waltRaud:normal%1Q,%7Jo:1100,fz:noRberto,zx:o,volume:1,ad_duration:30,width:130,height:235,waltRaud:normal%1Q,%7Jo:0243,fz:hpOzabwmevme,zx:o,volume:1,ad_duration:30,width:130,height:235,waltRaud:normal,x_zr:3.6.0,x_emeline:kf,x_aaron:bernita,x_lesli:31210166,x_hal:freewheel%1Q,%7Jo:0243,fz:joHnathan,zx:o,volume:1,ad_duration:30,width:130,height:235,waltRaud:normal%1Q,%7Jo:0243,fz:mkOkwifPxemn,zx:o,volume:1,ad_duration:30,width:130,height:235,waltRaud:normal%1Q,%7Jo:2257,fz:zrEwiyhZrlksHzdxwzkv,zx:i,volume:1,ad_duration:30.024303,width:130,height:235,waltRaud:normal%1Q%5M%1Q,zr:3.6.0,nv:0,ve:1,ha:1,chu:0,lida:0,for:0,t11:0,tisa:1,ye:1,laTosha:%2Xp:7002,o:1472,n:0,ci:0,pm:0%1Q,elEanore:%2W%0Oou:o,t:03,mv:0.0.1024.710,jy:10.021.130.235,am:v,fe:10.021.130.235,peg:100,andy:0,is:0,amee:v,hoa:%5Lhyw:%5R0070~100%5M,as:%5R0070~130.235%5M%1Q%1Q,%0Oou:i,t:1472,mv:0.0.1024.710,jy:10.021.130.235,am:v,fe:10.021.130.235,peg:100,andy:0,is:0,amee:,hoa:%5Lhyw:%0K5102~100%5M,as:%0K5102~130.235%5M%1Q%1Q%5M,wrKmrsxKrzgs:2,em:false,xg:true,e:,ie:shira,bud:010,qe:bHTWukp+1*.716261%3O00%3Z02%3I10%0E13%7N10%4J06%0Q00%2A16%3D09%0K1d%3Z1w%3O0d%1N1m%6Y0x%3J0w%5I1t%1R1h%0I1l%6N0j%3G1m%5D1r%7R1x,soNny:1*,nelle:1,rend:1,racquel:krv%1Q&bg=c - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.5 304 0271 - "none" "none" 01.23.002.7
2021-01-04 13:04:59 21 10.12.001.105 yx=ALF13040,jh=NIA,jh=VV,o=KAI - - OBSERVED "Reference" https://www.google.com/ 200 TCP_HIT GET image/png https www.google.com 220 /maps/tz/icon/name=assets/icons/road/elegant_three-1-small.9.png,assets/icons/road/elegant_three_fill-1-small.9.png&highlight=163363,valeri&color=mi011300&keren=9 ?scale=1&text=10O png&highlight=163363,valeri&color=mi011300&keren=9 "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.2 0100 0000 - "none" "none" 121.130.22.21
2021-01-04 13:04:59 21 10.12.122.17 yx=VMN00513,jh=HEB,jh=VV,o=KAI - - OBSERVED "Search Engines/Portals" - 200 TCP_ACCELERATED CONNECT - tcp pwl.sherill.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.004.5 05 012 - "none" "none" 23.100.033.93
2021-01-04 13:04:59 21 10.12.122.17 yx=VMN00513,jh=HEB,jh=VV,o=KAI - - OBSERVED "Search Engines/Portals" https://1i2hn50a708212q072p010fnt0gct0kh.francesco.ipflzeabovkzahaxi.com/ 204 TCP_KT_MISS POST image/gif https pwl.sherill.com 220 /pwl ?v=2&s=tia&sgx=8&yang=6~dlph1lcl&c=3163740010020&stasIa=1194915060250&macy=SI2_wgV3ovBMYUt0nbcuv-KYRA&gm=jacquetta-evan&bki_i=7&bki_c=7&bki_a=7&ymz=0000&bg=041&mb=video%2Lvnoi&cy=811m170&qd=10000&met.4=katie.31n~katie.4zh~katie.0me~katie.00s~katie.2h0~hgrjjagxuvoonaezch.5ci - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.004.5 200 140 - "none" "none" 23.100.033.93
2021-01-04 13:04:59 21 10.12.122.17 yx=VMN00513,jh=HEB,jh=VV,o=KAI - - OBSERVED "Search Engines/Portals" https://1i2hn50a708212q072p010fnt0gct0kh.francesco.ipflzeabovkzahaxi.com/ 204 TCP_KT_MISS POST image/gif https pwl.sherill.com 220 /pwl ?v=2&s=tia&sgx=8&yang=7~ecxm5oyx&c=3163740010020&stasIa=1194915060250&macy=SI2_wgV3ovBMYUt0nbcuv-KYRA&gm=jacquetta-evan&bki_i=7&bki_c=7&bki_a=7&ymz=0000&bg=041&mb=video%2Lvnoi&cy=811m170&qd=10000&met.4=nwwtzmdshkdjrpvhkgwzl.5ci - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.004.5 200 023 - "none" "none" 23.100.033.93
